,University,Degree,Avg_Attendance,Avg_Study_time_per_day,Extracurricular_Activities,Avg_sleep_time,Household_Size,Workout,Free_time_Activity,University_society_member,Parents_Highest_Qaulification,GPA,field
136,FAST UNIVERSITY,Bsc,70%-80%,1-2 hours,SPORTS,7-9 hours,3-4 members,Occasionally,Watching TV/Movies,No,Master's Degree,3.0 - 3.9,BS-CS
137,FAST UNIVERSITY,Bsc,90% - 100%,3-4 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-AI
138,UNIVERSITY OF KARACHI,Bsc,70%-80%,5-6 hours,No Activity,7-9 hours,7 or more members,"No, I don't",Watching TV/Movies,No,High School Diploma or Below,2.0 - 2.9,BA
139,BAHRIA UNIVERSITY,Bsc,70%-80%,1-2 hours,ARTS AND CULTURE;MUSIC,5-7 hours,3-4 members,Occasionally,Playing guitar,Yes,Bachelor's Degree,2.0 - 2.9,BS-CS
140,FAST UNIVERSITY,Bsc,80%-90%,1-2 hours,ACADEMIC CLUBS;VOLUNTEER WORK,5-7 hours,5-6 members,Occasionally,Socializing with Friends,Yes,High School Diploma or Below,3.0 - 3.9,BS-CS
141,FAST UNIVERSITY,Bsc,90% - 100%,5-6 hours,SPORTS,5-7 hours,5-6 members,"Yes, regularly",Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BS-CS
142,BAHRIA UNIVERSITY,Bsc,Below 60%,Less than 1 hour,SPORTS,More than 9 hours,1-2 members,"No, I don't",Socializing with Friends,No,Doctorate or Professional Degree,0.0 - 1.9,BS-IT
143,BAHRIA UNIVERSITY,Bsc,70%-80%,1-2 hours,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,More than 9 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,Bachelor's Degree,3.0 - 3.9,BBA
144,BAHRIA UNIVERSITY,Bsc,90% - 100%,Less than 1 hour,SPORTS,5-7 hours,3-4 members,"No, I don't",Playing Games,No,High School Diploma or Below,3.0 - 3.9,BBA
145,ABDULLAH ,Bsc,90% - 100%,3-4 hours,SPORTS;VOLUNTEER WORK,5-7 hours,5-6 members,"Yes, regularly",Socializing with Friends,No,High School Diploma or Below,4,BS-IT
146,BAHRIA UNIVERSITY,Bsc,80%-90%,Less than 1 hour,SPORTS;ARTS AND CULTURE,More than 9 hours,7 or more members,Occasionally,Watching TV/Movies,No,Master's Degree,2.0 - 2.9,BBA
147,BAHRIA UNIVERSITY,Bsc,70%-80%,Less than 1 hour,SPORTS;ARTS AND CULTURE;VOLUNTEER WORK,More than 9 hours,7 or more members,Occasionally,Playing Games,No,Bachelor's Degree,3.0 - 3.9,BBA
148,BAHRIA UNIVERSITY,Bsc,80%-90%,1-2 hours,SPORTS;VOLUNTEER WORK,Less than 5 hours,3-4 members,"No, I don't",Watching TV/Movies,No,Bachelor's Degree,3.0 - 3.9,BBA
149,DOW UNIVERSITY OF HEALTH SCIENCES,Bsc,80%-90%,3-4 hours,SPORTS;ARTS AND CULTURE,5-7 hours,5-6 members,"No, I don't",Watching TV/Movies,Yes,High School Diploma or Below,2.0 - 2.9,BBA
150,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,80%-90%,3-4 hours,SPORTS;VOLUNTEER WORK,7-9 hours,5-6 members,"Yes, regularly",Watching TV/Movies,Yes,Master's Degree,3.0 - 3.9,BS-EE
151,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY,Bsc,70%-80%,3-4 hours,SPORTS,5-7 hours,5-6 members,Occasionally,Watching TV/Movies,Yes,Bachelor's Degree,2.0 - 2.9,BS-EE
